Week_Number,Product_ID,Store_ID,Units_Sold,Marketing_Spend,Discount_Percent,Wastage_Units,Price
2024-W01,1003,502,2938,1822.84,15,434,3.31
2024-W01,1004,502,1267,891.81,0,187,3.89
2024-W01,1005,502,2754,553.5,5,407,1.57
2024-W01,1006,502,2659,999.97,5,398,2.66
2024-W01,1007,502,1941,491.37,0,271,2.78
2024-W01,1008,502,2512,1396.39,0,371,2.29
2024-W01,1009,502,2500,1659.51,0,375,3.73
2024-W01,1010,502,1902,1396.37,0,266,1.95
2024-W01,1011,502,2015,1440.56,0,302,3.84
2024-W01,1012,502,804,724.54,0,84,6.46
2024-W01,1013,502,1139,552.24,0,96,5.42
2024-W01,1014,502,928,395.23,25,97,3.2
2024-W01,1015,502,752,614.67,0,67,7.27
2024-W01,1016,502,513,706.1,0,46,3.97
2024-W01,1017,502,766,429.72,0,68,5.5
2024-W01,1018,502,482,774.46,0,45,10.87
2024-W01,1019,502,413,791.69,0,39,6.51
2024-W01,1020,502,1002,520.08,0,85,10.41
2024-W01,1021,502,1449,383.27,20,144,8.37
2024-W01,1022,502,884,511.13,0,92,4.09
2024-W01,1023,502,716,701.93,0,71,6.71
2024-W01,1024,502,2345,805.32,0,93,4.64
2024-W01,1025,502,2019,374.39,10,137,1.26
2024-W01,1026,502,2606,555.97,0,104,4.19
2024-W01,1027,502,1750,329.86,0,70,2.61
2024-W01,1028,502,2252,618.56,0,90,2.41
2024-W01,1029,502,2635,682.07,0,105,2.36
2024-W01,1030,502,2187,706.46,20,131,2.81
2024-W01,1031,502,2933,420.98,10,129,2.01
2024-W01,1032,502,2861,219.39,0,194,3.24
2024-W01,1033,502,1710,331.29,0,88,2.92
2024-W01,1034,502,1556,286.49,0,93,2.46
2024-W01,1035,502,1274,770.77,0,50,4.81
2024-W01,1036,502,1038,1778.92,5,25,4.8
2024-W01,1037,502,1132,1358.68,0,28,4.56
2024-W01,1038,502,1199,1052.18,0,29,1.83
2024-W01,1039,502,892,672.58,0,22,4.87
2024-W01,1040,502,1300,1148.61,0,32,7.1
2024-W01,1041,502,999,829.51,0,24,4.07
2024-W01,1042,502,1059,824.97,15,26,3.35
2024-W01,1043,502,1004,809.17,0,25,7.77
2024-W01,1044,502,1208,728.15,0,30,3.31
2024-W01,1045,502,1228,1034.7,0,30,6.99
2024-W01,1046,502,995,1050.5,5,24,7.57
2024-W01,1047,502,1312,1397.49,0,32,3.86
2024-W01,1000,503,2856,1101.11,0,422,1.09
2024-W01,1001,503,1694,1683.7,0,254,3.2
2024-W01,1002,503,4118,1569.42,15,617,1.6
2024-W01,1003,503,2808,1495.49,0,415,2.98
2024-W01,1004,503,2136,442.99,0,316,2.22
2024-W01,1005,503,1952,1573.84,5,288,2.94
2024-W01,1006,503,1967,793.02,5,295,2.97
2024-W01,1007,503,2114,444.18,5,295,1.78
2024-W01,1008,503,3027,890.68,0,447,3.94
2024-W01,1009,503,2415,1423.59,0,362,3.6
2024-W01,1010,503,3009,771.63,0,421,1.7
2024-W01,1011,503,3797,605.44,0,569,1.81
2024-W01,1012,503,646,741.83,5,67,6.29
2024-W01,1013,503,709,585.33,5,60,10.03
2024-W01,1014,503,580,653.66,0,60,8.08
2024-W01,1015,503,734,277.29,0,66,6.4
2024-W01,1016,503,1490,248.64,0,134,10.6
2024-W01,1017,503,743,558.77,0,66,9.85
2024-W01,1018,503,1592,509.92,10,151,10.8
2024-W01,1019,503,1141,262.37,0,108,6.32
2024-W01,1020,503,1205,805.05,0,102,9.48
2024-W01,1021,503,743,303.34,0,74,8.47
2024-W01,1022,503,603,499.93,0,63,3.47
2024-W01,1023,503,898,421.04,10,89,3.17
2024-W01,1024,503,3442,472.0,10,137,0.79
2024-W01,1025,503,3005,213.48,0,204,3.84
2024-W01,1026,503,1661,638.52,0,66,4.05
2024-W01,1027,503,1988,188.77,0,79,1.3
2024-W01,1028,503,2470,727.26,5,98,2.24
2024-W01,1029,503,1985,319.81,0,79,4.29
2024-W01,1030,503,1953,551.13,0,117,1.76
2024-W01,1031,503,3508,557.57,0,154,4.96
2024-W01,1032,503,2728,685.09,0,185,1.66
2024-W01,1033,503,2359,549.05,0,122,1.42
2024-W01,1034,503,2269,647.31,0,136,4.78
2024-W01,1035,503,2791,382.91,15,111,1.21
2024-W01,1036,503,711,1390.52,0,17,7.62
2024-W01,1037,503,1443,798.75,5,36,3.56
2024-W01,1038,503,698,939.46,0,17,7.96
2024-W01,1039,503,1732,1632.22,0,43,7.96
2024-W01,1040,503,1734,314.68,0,43,1.82
2024-W01,1041,503,1439,1903.92,0,35,5.74
2024-W01,1042,503,1099,1266.09,0,27,5.89
2024-W01,1043,503,1688,1601.94,0,42,6.91
2024-W01,1044,503,817,922.79,0,20,5.26
2024-W01,1045,503,1465,1105.5,0,36,2.34
2024-W01,1046,503,1129,513.13,0,28,7.4
2024-W01,1047,503,1421,1014.5,0,35,7.39
2024-W01,1000,504,3211,1701.66,0,475,2.72
2024-W01,1001,504,3842,1283.5,5,576,1.06
2024-W01,1002,504,4858,926.04,0,728,2.69
2024-W01,1003,504,3701,1029.97,0,547,3.84
2024-W01,1004,504,4790,1217.18,10,708,2.5
2024-W01,1005,504,4221,598.05,0,624,3.64
2024-W01,1006,504,6744,691.28,0,1011,3.31
2024-W01,1007,504,5892,383.33,20,824,0.89
2024-W01,1008,504,4234,507.87,0,626,1.91
2024-W01,1009,504,4656,1363.25,0,698,2.99
2024-W01,1010,504,5700,505.56,0,797,1.76
2024-W01,1011,504,4915,1011.25,10,737,2.36
2024-W01,1012,504,1508,199.0,0,158,8.25
2024-W01,1013,504,2194,738.12,0,186,4.17
2024-W01,1014,504,1449,616.56,0,152,10.45
2024-W01,1015,504,1602,169.56,0,144,10.65
2024-W01,1016,504,1053,691.17,0,94,11.81
2024-W01,1017,504,1572,475.59,0,141,5.81
2024-W01,1018,504,1988,757.78,15,188,8.97
2024-W01,1019,504,1752,505.98,0,166,9.36
2024-W01,1020,504,2001,504.13,0,170,4.61
2024-W01,1021,504,2515,451.62,0,251,9.09
2024-W01,1022,504,1561,841.77,0,163,8.62
2024-W01,1023,504,2450,300.95,10,245,4.21
2024-W01,1024,504,6086,358.97,20,243,2.0
2024-W01,1025,504,2774,901.64,0,188,1.66
2024-W01,1026,504,2550,231.85,0,102,2.56
2024-W01,1027,504,5230,630.24,0,209,0.85
2024-W01,1028,504,5846,418.83,0,233,3.9
2024-W01,1029,504,5661,592.77,0,226,2.97
2024-W01,1030,504,4774,301.2,25,286,0.84
2024-W01,1031,504,3508,582.84,0,154,3.12
2024-W01,1032,504,3167,380.37,0,215,3.36
2024-W01,1033,504,4048,399.82,0,210,2.69
2024-W01,1034,504,6058,337.09,0,363,3.74
2024-W01,1035,504,5049,672.69,0,201,4.75
2024-W01,1036,504,2607,574.63,10,65,1.14
2024-W01,1037,504,1794,429.24,0,44,3.76
2024-W01,1038,504,2082,1373.39,0,52,5.76
2024-W01,1039,504,1575,633.46,0,39,2.36
2024-W01,1040,504,1243,1042.59,0,31,2.12
2024-W01,1041,504,2254,895.29,0,56,6.67
2024-W01,1042,504,2802,1568.46,0,70,1.01
2024-W01,1043,504,2211,505.52,0,55,7.36
2024-W01,1044,504,2475,1000.57,0,61,5.79
2024-W01,1045,504,1372,951.44,0,34,4.25
2024-W01,1046,504,1168,596.08,0,29,4.18
2024-W01,1047,504,1498,673.91,5,37,1.61
2024-W01,1000,505,2265,496.5,0,335,2.34
2024-W01,1001,505,3607,1217.69,20,541,1.66
2024-W01,1002,505,1985,1163.13,0,297,2.52
2024-W01,1003,505,3128,1613.49,0,462,2.05
2024-W01,1004,505,2070,674.75,15,306,2.41
2024-W01,1005,505,2303,1288.43,0,340,1.01
2024-W01,1006,505,1597,1182.07,0,239,2.24
2024-W01,1007,505,1137,540.86,0,159,2.56
2024-W01,1008,505,1453,1515.99,0,215,3.25
2024-W01,1009,505,1271,588.84,0,190,2.24
2024-W01,1010,505,2103,1210.29,0,294,3.84
2024-W01,1011,505,3529,647.7,20,529,1.3
2024-W01,1012,505,738,530.65,0,77,10.72
2024-W01,1013,505,779,609.02,0,66,3.09
2024-W01,1014,505,897,587.5,10,94,3.73
2024-W01,1015,505,754,819.15,0,67,3.68
2024-W01,1016,505,843,724.91,15,75,6.22
2024-W01,1017,505,498,821.88,0,44,10.23
2024-W01,1018,505,717,584.82,0,68,9.56
2024-W01,1019,505,909,592.23,5,86,8.91
2024-W01,1020,505,627,466.59,15,53,3.34
2024-W01,1021,505,1156,641.6,15,115,6.51
2024-W01,1022,505,837,544.42,5,87,6.19
2024-W01,1023,505,1247,557.7,10,124,7.82
2024-W01,1024,505,2352,802.08,0,94,3.32
2024-W01,1025,505,2549,748.38,0,173,3.72
2024-W01,1026,505,1708,559.72,0,68,3.04
2024-W01,1027,505,1443,542.61,0,57,1.97
2024-W01,1028,505,3181,578.6,5,127,3.8
2024-W01,1029,505,2211,851.96,0,88,1.91
2024-W01,1030,505,2241,568.58,0,134,2.6
2024-W01,1031,505,1328,427.88,0,58,4.35
2024-W01,1032,505,3163,455.15,0,215,4.72
2024-W01,1033,505,1441,475.31,5,74,2.4
2024-W01,1034,505,2465,649.56,20,147,1.42
2024-W01,1035,505,1415,426.97,0,56,0.82
2024-W01,1036,505,718,1179.71,0,17,6.18
2024-W01,1037,505,912,1218.23,0,22,3.34
2024-W01,1038,505,1430,1316.72,0,35,5.37
2024-W01,1039,505,832,1275.55,0,20,5.58
2024-W01,1040,505,1411,1498.61,15,35,6.64
2024-W01,1041,505,1223,1172.85,0,30,3.91
2024-W01,1042,505,590,1033.67,0,14,1.79
2024-W01,1043,505,922,886.7,15,23,2.99
2024-W01,1044,505,773,1585.97,0,19,1.0
2024-W01,1045,505,1208,978.14,0,30,7.82
2024-W01,1046,505,772,1418.68,0,19,0.73
2024-W01,1047,505,1384,874.49,0,34,1.46
2024-W01,1000,506,2581,415.07,0,381,1.26
2024-W01,1001,506,1521,1287.21,10,228,3.44
2024-W01,1002,506,1899,712.11,0,284,1.84
2024-W01,1003,506,3025,944.32,0,447,2.1
2024-W01,1004,506,2061,787.09,10,305,1.32
2024-W01,1005,506,1712,581.74,0,253,3.34
2024-W01,1006,506,3427,688.03,15,514,3.36
2024-W01,1007,506,3127,1301.13,0,437,3.0
2024-W01,1008,506,2183,423.76,0,323,3.3
2024-W01,1009,506,1496,983.66,0,224,2.45
2024-W01,1010,506,2536,631.27,25,355,1.03
2024-W01,1011,506,1596,915.04,0,239,1.69
2024-W01,1012,506,1256,471.36,0,131,4.49
2024-W01,1013,506,678,267.87,0,57,11.73
2024-W01,1014,506,1234,499.78,0,129,6.04
2024-W01,1015,506,473,308.39,0,42,4.96
2024-W01,1016,506,623,299.44,0,56,3.48
2024-W01,1017,506,824,200.68,0,74,7.38
2024-W01,1018,506,1819,657.31,20,172,6.65
2024-W01,1019,506,1122,617.28,0,106,11.42
2024-W01,1020,506,500,685.91,0,42,6.06
2024-W01,1021,506,1064,864.25,0,106,8.64
2024-W01,1022,506,434,511.49,5,45,6.69
2024-W01,1023,506,607,248.81,0,60,9.26
2024-W01,1024,506,2502,655.22,0,100,1.8
2024-W01,1025,506,2118,225.1,0,144,3.95
2024-W01,1026,506,1918,670.82,0,76,4.84
2024-W01,1027,506,2281,561.55,0,91,2.04
2024-W01,1028,506,1872,662.01,15,74,4.12
2024-W01,1029,506,2721,563.87,0,108,1.4
2024-W01,1030,506,2146,591.28,0,128,1.58
2024-W01,1031,506,2392,566.23,0,105,1.95
2024-W01,1032,506,2558,677.73,0,173,3.58
2024-W01,1033,506,2014,564.56,0,104,4.75
2024-W01,1034,506,1475,339.12,0,88,2.3
2024-W01,1035,506,2251,533.76,0,90,1.58
2024-W01,1036,506,1133,1260.46,0,28,1.38
2024-W01,1037,506,557,1367.2,0,13,1.37
2024-W01,1038,506,795,1425.17,0,19,6.66
2024-W01,1039,506,1034,1067.95,0,25,1.12
2024-W01,1040,506,1004,503.48,0,25,7.85
2024-W01,1041,506,1577,1657.28,0,39,6.98
2024-W01,1042,506,865,499.92,0,21,3.68
2024-W01,1043,506,1085,819.68,0,27,0.9
2024-W01,1044,506,854,589.06,0,21,7.23
2024-W01,1045,506,1560,1001.35,20,39,3.74
2024-W01,1046,506,1045,843.93,0,26,6.56
2024-W01,1047,506,1248,1367.24,10,31,5.03
2024-W01,1000,507,1545,1190.02,0,228,2.97
2024-W01,1001,507,1681,496.62,0,252,2.54
2024-W01,1002,507,1522,744.39,0,228,3.44
2024-W01,1003,507,2641,629.88,0,390,2.59
2024-W01,1004,507,2594,715.99,10,383,3.13
2024-W01,1005,507,2104,906.16,0,311,3.91
2024-W01,1006,507,3174,995.39,0,476,2.91
2024-W01,1007,507,2567,897.04,0,359,2.33
2024-W01,1008,507,1753,805.23,0,259,3.3
2024-W01,1009,507,2133,547.12,5,319,2.58
2024-W01,1010,507,3067,1389.38,0,429,3.19
2024-W01,1011,507,1673,453.23,0,250,1.8
2024-W01,1012,507,839,702.93,5,88,5.45
2024-W01,1013,507,819,784.58,10,69,4.0
2024-W01,1014,507,862,316.44,5,90,9.73
2024-W01,1015,507,716,874.8,5,64,11.18
2024-W01,1016,507,709,781.36,20,63,5.42
2024-W01,1017,507,1105,542.52,0,99,3.36
2024-W01,1018,507,856,281.02,0,81,8.09
2024-W01,1019,507,1026,288.77,0,97,10.49
2024-W01,1020,507,946,331.39,15,80,4.03
2024-W01,1021,507,451,379.52,0,45,7.43
2024-W01,1022,507,1144,590.25,25,120,3.66
2024-W01,1023,507,998,478.04,5,99,8.66
2024-W01,1024,507,2551,314.0,0,102,2.25
2024-W01,1025,507,2762,203.48,10,187,3.71
2024-W01,1026,507,2949,365.45,25,117,1.45
2024-W01,1027,507,1935,724.11,0,77,4.0
2024-W01,1028,507,1407,632.94,0,56,2.6
2024-W01,1029,507,1621,568.55,5,64,1.87
2024-W01,1030,507,3035,765.98,0,182,1.62
2024-W01,1031,507,3667,232.11,25,161,1.51
2024-W01,1032,507,1661,406.19,0,112,3.67
2024-W01,1033,507,2956,642.1,0,153,4.76
2024-W01,1034,507,2363,253.57,0,141,3.35
2024-W01,1035,507,3935,661.62,5,157,2.4
2024-W01,1036,507,668,547.38,0,16,3.7
2024-W01,1037,507,610,456.7,0,15,6.54
2024-W01,1038,507,1077,1430.63,0,26,5.01
2024-W01,1039,507,779,1677.33,0,19,5.95
2024-W01,1040,507,899,1034.09,0,22,4.86
2024-W01,1041,507,1854,853.29,15,46,4.21
2024-W01,1042,507,1044,1614.57,0,26,1.21
2024-W01,1043,507,1071,1112.1,0,26,2.66
2024-W01,1044,507,1126,1746.62,0,28,0.6
2024-W01,1045,507,842,1492.71,0,21,6.59
2024-W01,1046,507,650,1540.51,5,16,2.72
2024-W01,1047,507,1402,715.37,0,35,4.87
2024-W01,1000,508,4148,575.73,15,613,1.65
2024-W01,1001,508,2096,1352.35,0,314,3.62
2024-W01,1002,508,1925,1174.5,0,288,1.92
2024-W01,1003,508,2290,832.39,0,338,2.44
2024-W01,1004,508,2194,1351.82,0,324,2.63
2024-W01,1005,508,2227,978.74,0,329,2.2
2024-W01,1006,508,2784,810.68,15,417,2.71
2024-W01,1007,508,2925,530.66,10,409,3.36
2024-W01,1008,508,1928,903.57,0,285,2.19
2024-W01,1009,508,1793,666.53,0,268,2.75
2024-W01,1010,508,3265,425.81,0,457,1.18
2024-W01,1011,508,2258,933.77,0,338,3.65
2024-W01,1012,508,829,521.92,0,87,7.1
2024-W01,1013,508,967,405.18,0,82,8.42
2024-W01,1014,508,1216,530.7,0,127,3.34
2024-W01,1015,508,865,695.54,0,77,8.19
2024-W01,1016,508,1407,633.97,20,126,3.47
2024-W01,1017,508,941,642.62,0,84,11.46
2024-W01,1018,508,965,325.63,0,91,11.24
2024-W01,1019,508,1652,213.57,15,156,9.98
2024-W01,1020,508,806,330.87,0,68,3.09
2024-W01,1021,508,1409,300.48,0,140,3.78
2024-W01,1022,508,767,535.55,5,80,3.85
2024-W01,1023,508,975,512.2,0,97,10.38
2024-W01,1024,508,1242,353.83,0,49,4.73
2024-W01,1025,508,3584,246.59,0,243,0.86
2024-W01,1026,508,1908,473.96,0,76,3.0
2024-W01,1027,508,3010,218.9,0,120,1.65
2024-W01,1028,508,4210,155.94,10,168,1.74
2024-W01,1029,508,2845,600.8,0,113,4.49
2024-W01,1030,508,1643,278.05,0,98,3.07
2024-W01,1031,508,2974,764.92,0,130,4.74
2024-W01,1032,508,1936,631.88,0,131,4.96
2024-W01,1033,508,3179,631.11,10,165,1.36
2024-W01,1034,508,3545,623.6,25,212,1.16
2024-W01,1035,508,2701,338.91,15,108,1.29
2024-W01,1036,508,1154,935.71,0,28,1.05
2024-W01,1037,508,1235,1052.41,0,30,7.71
2024-W01,1038,508,1212,811.37,0,30,1.96
2024-W01,1039,508,1941,544.08,15,48,5.95
2024-W01,1040,508,1790,714.61,15,44,6.78
2024-W01,1041,508,1105,603.0,0,27,7.3
2024-W01,1042,508,1054,585.36,0,26,4.95
2024-W01,1043,508,1094,746.68,0,27,6.71
2024-W01,1044,508,1265,1352.61,0,31,4.76
2024-W01,1045,508,1269,563.27,15,31,6.24
2024-W01,1046,508,1331,1280.73,15,33,5.11
2024-W01,1047,508,1249,482.64,0,31,5.86
2024-W01,1000,509,2760,1539.99,0,408,3.58
2024-W01,1001,509,6033,502.29,10,904,1.7
2024-W01,1002,509,3420,900.32,0,513,2.76
2024-W01,1003,509,6198,388.38,0,917,3.14
2024-W01,1004,509,4216,1154.78,0,623,3.01
2024-W01,1005,509,6868,1477.14,0,1016,2.69
2024-W01,1006,509,5810,424.13,5,871,2.77
2024-W01,1007,509,6424,1479.91,0,899,3.02
2024-W01,1008,509,4249,1371.88,0,628,3.93
2024-W01,1009,509,6001,1344.33,5,900,3.7
2024-W01,1010,509,7013,828.71,5,981,2.0
2024-W01,1011,509,5544,1394.35,0,831,1.6
2024-W01,1012,509,2548,446.18,0,267,4.29
2024-W01,1013,509,1399,450.41,0,118,3.98
2024-W01,1014,509,1556,439.22,0,163,10.84
2024-W01,1015,509,1286,590.54,0,115,5.98
2024-W01,1016,509,2079,273.44,10,187,4.13
2024-W01,1017,509,2151,583.41,0,193,11.51
2024-W01,1018,509,1301,526.79,0,123,8.82
2024-W01,1019,509,877,351.6,0,83,10.64
2024-W01,1020,509,1498,557.58,0,127,8.2
2024-W01,1021,509,958,661.97,0,95,3.95
2024-W01,1022,509,1411,350.41,0,148,4.25
2024-W01,1023,509,987,426.48,0,98,8.68
2024-W01,1024,509,5599,642.91,0,223,3.25
2024-W01,1025,509,2619,552.61,0,178,2.25
2024-W01,1026,509,4660,472.6,0,186,1.07
2024-W01,1027,509,5354,368.26,0,214,2.57
2024-W01,1028,509,5385,669.95,25,215,1.47
2024-W01,1029,509,3290,536.68,0,131,0.81
2024-W01,1030,509,3574,780.99,0,214,2.95
2024-W01,1031,509,3865,335.04,0,170,1.77
2024-W01,1032,509,2852,690.14,5,193,3.63
2024-W01,1033,509,5561,703.46,10,289,3.08
2024-W01,1034,509,8167,592.89,20,490,3.55
2024-W01,1035,509,5184,518.88,0,207,4.09
2024-W01,1036,509,2064,790.39,0,51,0.55
2024-W01,1037,509,1546,533.4,0,38,2.81
2024-W01,1038,509,2768,1745.15,0,69,3.63
2024-W01,1039,509,2246,1559.46,0,56,6.8
2024-W01,1040,509,2600,430.81,15,65,5.42
2024-W01,1041,509,1942,1053.43,0,48,1.79
2024-W01,1042,509,1205,1833.11,0,30,4.34
2024-W01,1043,509,3290,1783.1,0,82,5.04
2024-W01,1044,509,1308,1152.83,10,32,5.12
2024-W01,1045,509,2005,1162.85,0,50,1.39
2024-W01,1046,509,2013,634.83,0,50,7.67
2024-W01,1047,509,1894,658.05,0,47,1.56
2024-W01,1000,510,3236,954.97,0,478,2.89
2024-W01,1001,510,1400,1166.3,0,210,3.77
2024-W01,1002,510,2040,700.69,0,306,2.79
2024-W01,1003,510,1252,1062.63,0,185,2.58
2024-W01,1004,510,1106,611.21,0,163,2.55
2024-W01,1005,510,2072,649.97,0,306,1.17
2024-W01,1006,510,1326,403.97,0,198,1.27
2024-W01,1007,510,2657,725.09,0,371,1.49
2024-W01,1008,510,2005,1148.11,0,296,1.24
2024-W01,1009,510,1544,1143.17,10,231,1.21
2024-W01,1010,510,2671,501.35,0,373,1.65
2024-W01,1011,510,2001,957.43,25,300,2.62
2024-W01,1012,510,643,479.38,0,67,6.9
2024-W01,1013,510,790,355.36,15,67,6.72
2024-W01,1014,510,722,350.74,15,75,8.28
2024-W01,1015,510,592,267.81,10,53,6.63
2024-W01,1016,510,365,568.41,0,32,7.28
2024-W01,1017,510,521,176.77,0,46,7.6
2024-W01,1018,510,705,325.18,0,66,10.55
2024-W01,1019,510,802,469.86,0,76,10.7
2024-W01,1020,510,1155,722.99,0,98,4.07
2024-W01,1021,510,483,563.08,0,48,8.26
2024-W01,1022,510,507,556.47,15,53,5.84
2024-W01,1023,510,447,756.02,0,44,9.73
2024-W01,1024,510,1981,454.28,0,79,3.82
2024-W01,1025,510,1438,381.05,0,97,4.13
2024-W01,1026,510,2177,771.09,0,87,3.39
2024-W01,1027,510,1760,187.87,0,70,2.18
2024-W01,1028,510,1801,246.83,0,72,1.63
2024-W01,1029,510,2105,496.55,0,84,1.96
2024-W01,1030,510,1281,651.48,0,76,3.84
2024-W01,1031,510,2444,389.22,0,107,3.12
2024-W01,1032,510,2374,553.89,0,161,1.98
2024-W01,1033,510,2683,516.42,10,139,1.63
2024-W01,1034,510,2351,476.8,0,141,2.49
2024-W01,1035,510,1646,218.25,0,65,1.9
2024-W01,1036,510,1083,588.63,10,27,2.58
2024-W01,1037,510,777,1198.34,0,19,4.37
2024-W01,1038,510,703,728.38,5,17,2.36
2024-W01,1039,510,671,954.85,0,16,4.6
2024-W01,1040,510,912,1226.83,0,22,7.3
2024-W01,1041,510,1294,573.87,0,32,7.49
2024-W01,1042,510,1246,659.16,15,31,3.85
2024-W01,1043,510,1231,952.02,0,30,3.52
2024-W01,1044,510,558,823.98,0,13,7.58
2024-W01,1045,510,943,1273.6,0,23,1.48
2024-W01,1046,510,708,446.07,0,17,3.37
2024-W01,1047,510,1252,607.23,0,31,1.41
2024-W01,1000,511,1914,878.79,0,283,3.81
2024-W01,1001,511,2862,765.68,10,429,0.99
2024-W01,1002,511,3390,1475.43,0,508,2.93
2024-W01,1003,511,2551,1131.8,0,377,3.55
2024-W01,1004,511,2081,909.16,0,307,1.4
